cluster,fixed_single_k_precision,fixed_single_k_recall,fixed_single_k_f1,fixed_single_k_contam,fixed_single_k_runtime_s,full_core_precision,full_core_recall,full_core_f1,full_core_contam,full_core_runtime_s,no_anchor_prior_precision,no_anchor_prior_recall,no_anchor_prior_f1,no_anchor_prior_contam,no_anchor_prior_runtime_s,no_candidate_protocol_precision,no_candidate_protocol_recall,no_candidate_protocol_f1,no_candidate_protocol_contam,no_candidate_protocol_runtime_s,no_center_refinement_precision,no_center_refinement_recall,no_center_refinement_f1,no_center_refinement_contam,no_center_refinement_runtime_s,no_objective_regularization_precision,no_objective_regularization_recall,no_objective_regularization_f1,no_objective_regularization_contam,no_objective_regularization_runtime_s,no_quality_cut_precision,no_quality_cut_recall,no_quality_cut_f1,no_quality_cut_contam,no_quality_cut_runtime_s,no_support_gate_precision,no_support_gate_recall,no_support_gate_f1,no_support_gate_contam,no_support_gate_runtime_s,tier
UBC1047,1.0,0.9705882352941176,0.9850746268656716,0.0,0.0456229999981587,1.0,1.0,1.0,0.0,0.1309544999385252,1.0,0.9705882352941176,0.9850746268656716,0.0,0.0829642999960924,1.0,0.9705882352941176,0.9850746268656716,0.0,0.248379799995746,1.0,0.9705882352941176,0.9850746268656716,0.0,0.0363196999969659,1.0,0.9705882352941176,0.9850746268656716,0.0,0.0795119000031263,1.0,1.0,1.0,0.0,0.0749179999984335,0.0,0.0,0.0,1.0,0.0910493999981554,0
UBC1048,1.0,0.9827586206896552,0.9913043478260868,0.0,0.0419592000034754,1.0,0.9655172413793104,0.9824561403508772,0.0,0.1545391000108793,1.0,1.0,1.0,0.0,0.0839243999944301,1.0,1.0,1.0,0.0,0.4380276999945636,1.0,1.0,1.0,0.0,0.0434323000008589,1.0,1.0,1.0,0.0,0.0825437000021338,1.0,1.0,1.0,0.0,0.0800063999995472,0.0,0.0,0.0,1.0,0.089634299998579,1
UBC1049,1.0,0.7012987012987013,0.8244274809160306,0.0,0.050041800001054,1.0,0.087719298245614,0.1612903225806451,0.0,0.1426503000548109,1.0,0.7359307359307359,0.8478802992518703,0.0,0.1014576999950804,1.0,0.8874458874458875,0.9403669724770642,0.0,0.7164493999953265,1.0,0.7359307359307359,0.8478802992518703,0.0,0.0464560999971581,1.0,0.7359307359307359,0.8478802992518703,0.0,0.0963926999975228,1.0,0.7402597402597403,0.8507462686567165,0.0,0.0991425000029266,1.0,0.5194805194805194,0.6837606837606837,0.0,0.0986999000015202,2
UBC1050,1.0,1.0,1.0,0.0,0.0297923999969498,1.0,1.0,1.0,0.0,0.1313466998981312,1.0,1.0,1.0,0.0,0.0730064000017591,1.0,1.0,1.0,0.0,0.2365832000068621,1.0,1.0,1.0,0.0,0.033522499994433,1.0,1.0,1.0,0.0,0.0697472000028938,1.0,1.0,1.0,0.0,0.0685983000003034,0.0,0.0,0.0,1.0,0.0761369000028935,0
UBC1051,1.0,0.9,0.9473684210526316,0.0,0.0405854999989969,1.0,1.0,1.0,0.0,0.1607244999613613,1.0,0.9,0.9473684210526316,0.0,0.0933561000056215,1.0,0.95,0.9743589743589745,0.0,0.5992408000020077,1.0,0.9,0.9473684210526316,0.0,0.0454228999951737,1.0,0.9,0.9473684210526316,0.0,0.0919938000006368,1.0,0.9125,0.9542483660130718,0.0,0.0869424999982584,0.5546218487394958,0.825,0.6633165829145728,0.4453781512605042,0.1003744000045117,0
UBC1052,1.0,0.967741935483871,0.9836065573770492,0.0,0.0326654999953461,1.0,1.0,1.0,0.0,0.1386600999394431,1.0,0.967741935483871,0.9836065573770492,0.0,0.0797262999985832,1.0,0.967741935483871,0.9836065573770492,0.0,0.2301336000018636,1.0,0.967741935483871,0.9836065573770492,0.0,0.040515000000596,1.0,0.967741935483871,0.9836065573770492,0.0,0.0878607000049669,1.0,1.0,1.0,0.0,0.0772177999970153,0.2678571428571428,0.967741935483871,0.4195804195804196,0.7321428571428572,0.0815577999965171,0
UBC1053,1.0,0.967741935483871,0.9836065573770492,0.0,0.0359955000021727,1.0,0.9666666666666668,0.983050847457627,0.0,0.1256988999666646,1.0,0.967741935483871,0.9836065573770492,0.0,0.0864519000024302,1.0,0.967741935483871,0.9836065573770492,0.0,0.4455560999995214,1.0,0.967741935483871,0.9836065573770492,0.0,0.0423242999968351,1.0,0.967741935483871,0.9836065573770492,0.0,0.0860959999990882,1.0,1.0,1.0,0.0,0.0807863000009092,0.0,0.0,0.0,1.0,0.0894465000019408,1
UBC1054,1.0,1.0,1.0,0.0,0.0274729000011575,1.0,0.925925925925926,0.9615384615384616,0.0,0.1856397000374272,1.0,1.0,1.0,0.0,0.0814336000039475,1.0,1.0,1.0,0.0,0.2109257999982219,1.0,1.0,1.0,0.0,0.0354503999988082,1.0,1.0,1.0,0.0,0.0712990999963949,1.0,1.0,1.0,0.0,0.0712994999994407,0.0,0.0,0.0,1.0,0.0778763999987859,2
UBC1055,1.0,0.979591836734694,0.9896907216494846,0.0,0.0352907000051345,1.0,0.979591836734694,0.9896907216494846,0.0,0.1360052999807521,1.0,0.979591836734694,0.9896907216494846,0.0,0.0834457999953883,1.0,0.979591836734694,0.9896907216494846,0.0,0.3409793000028003,1.0,0.979591836734694,0.9896907216494846,0.0,0.037913700005447,1.0,0.979591836734694,0.9896907216494846,0.0,0.079020400000445,1.0,0.979591836734694,0.9896907216494846,0.0,0.0822172999978647,0.4,0.979591836734694,0.5680473372781065,0.6,0.0827634000015677,1
UBC1056,1.0,0.9545454545454546,0.9767441860465116,0.0,0.0245665999973425,1.0,0.9545454545454546,0.9767441860465116,0.0,0.1355481999926269,1.0,1.0,1.0,0.0,0.0703672000017832,1.0,1.0,1.0,0.0,0.1461404000001493,1.0,1.0,1.0,0.0,0.0353499999982886,1.0,1.0,1.0,0.0,0.0674437999987276,1.0,1.0,1.0,0.0,0.0687025000006542,0.2784810126582278,1.0,0.4356435643564356,0.7215189873417722,0.0755871000001207,1
