cluster,method,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,extra_1,extra_2
UBC1288,gmm_bic,3010,3010,0,10,16,0.625,1.0,0.7692307692307693,0.375,0.9633182999677956,center0,0.0,16163.094408753766,GMM|k=5|cv=ful,50.0,16.0
UBC1289,gmm_bic,9246,9246,0,46,329,0.0,0.0,0.0,1.0,1.0610975000308829,center0,0.0,15080.00661942816,GMM|k=5|cv=dia,445.0,329.0
UBC1290,gmm_bic,11256,11256,0,56,56,1.0,1.0,1.0,0.0,1.0073161000618711,center0,0.0,7247.402896373256,GMM|k=5|cv=ful,82.0,56.0
UBC1291,gmm_bic,4623,4623,0,23,23,1.0,1.0,1.0,0.0,0.9620684999972582,center0,0.0,11268.078918647776,GMM|k=4|cv=ful,50.0,23.0
UBC1292,gmm_bic,11455,11457,2,55,552,0.0,0.0,0.0,1.0,0.4097265000455081,center0,0.0,5395.964284871579,GMM|k=5|cv=dia,572.0,552.0
UBC1293,gmm_bic,4221,4221,0,21,211,0.0,0.0,0.0,1.0,0.9488296000054106,center0,0.0,12431.24805876492,GMM|k=5|cv=ful,211.0,823.0
UBC1294,gmm_bic,6834,6834,0,34,341,0.0,0.0,0.0,1.0,1.1678933999501169,center0,0.0,10455.7864866004,GMM|k=5|cv=dia,341.0,377.0
UBC1295,gmm_bic,3618,3618,0,18,180,0.0,0.0,0.0,1.0,0.9812769000418484,center0,0.0,20179.47485062933,GMM|k=5|cv=dia,180.0,491.0
UBC1296,gmm_bic,12864,12864,0,64,64,1.0,1.0,1.0,0.0,0.8362426999956369,center0,0.0,4798.276325200559,GMM|k=5|cv=dia,94.0,64.0
UBC1297,gmm_bic,6632,6633,1,32,331,0.0,0.0,0.0,1.0,0.9829939999617636,center0,0.0,15227.834810702783,GMM|k=5|cv=ful,331.0,965.0
UBC1298,gmm_bic,6833,6834,1,33,33,1.0,0.9705882352941176,0.9850746268656716,0.0,0.9343303000787272,center0,0.0,10133.651991818906,GMM|k=5|cv=dia,50.0,33.0
UBC1299,gmm_bic,7035,7035,0,35,35,1.0,1.0,1.0,0.0,1.1690741999773309,center0,0.0,10906.118978946191,GMM|k=5|cv=ful,52.0,35.0
UBC1300,gmm_bic,3013,3013,0,13,76,0.1710526315789473,1.0,0.2921348314606741,0.8289473684210527,0.7947326001012698,center0,0.0,15634.028326899666,GMM|k=5|cv=dia,150.0,76.0
UBC1301,gmm_bic,9648,9648,0,48,48,1.0,1.0,1.0,0.0,0.8804690000833943,center0,0.0,8249.67347571133,GMM|k=5|cv=ful,70.0,48.0
UBC1302,gmm_bic,3818,3819,1,18,190,0.0,0.0,0.0,1.0,0.9578966000117362,center0,0.0,15519.21807715176,GMM|k=5|cv=ful,190.0,620.0
UBC1303,gmm_bic,5829,5829,0,29,222,0.0,0.0,0.0,1.0,0.7602164999116212,center0,0.0,14461.964865659238,GMM|k=5|cv=dia,291.0,222.0
UBC1304,gmm_bic,8839,8841,2,42,441,0.0,0.0,0.0,1.0,0.6805641000391915,center0,0.0,15442.96416798098,GMM|k=4|cv=dia,441.0,830.0
UBC1305,gmm_bic,3819,3819,0,19,190,0.0,0.0,0.0,1.0,0.9126516999676824,center0,0.0,21482.85081002569,GMM|k=5|cv=dia,190.0,704.0
UBC1306,gmm_bic,14068,14069,1,69,72,0.9583333333333334,0.9857142857142858,0.971830985915493,0.0416666666666666,0.4620018000714481,center0,0.0,8312.545915578366,GMM|k=5|cv=dia,106.0,72.0
UBC1307,gmm_bic,11457,11457,0,57,57,1.0,1.0,1.0,0.0,0.760177299962379,center0,0.0,8157.097925631984,GMM|k=5|cv=ful,85.0,57.0
UBC1308,gmm_bic,3618,3618,0,18,18,1.0,1.0,1.0,0.0,0.8881464999867603,center0,0.0,15302.128096555234,GMM|k=5|cv=dia,50.0,18.0
UBC1309,gmm_bic,20108,20109,1,108,108,1.0,0.9908256880733946,0.9953917050691244,0.0,0.543424200033769,center0,0.0,4819.817741845609,GMM|k=5|cv=dia,160.0,108.0
UBC1310,gmm_bic,3818,3819,1,18,22,0.8181818181818182,0.9473684210526316,0.8780487804878049,0.1818181818181817,0.9085341999307276,center0,0.0,15459.097261619578,GMM|k=4|cv=ful,50.0,22.0
UBC1311,gmm_bic,5628,5628,0,28,28,1.0,1.0,1.0,0.0,0.9742366999853402,center0,0.0,10264.984698681665,GMM|k=4|cv=dia,50.0,28.0
UBC1312,gmm_bic,5226,5226,0,26,261,0.0,0.0,0.0,1.0,0.7150173999834806,center0,0.0,11635.72870680569,GMM|k=5|cv=ful,261.0,532.0
UBC1313,gmm_bic,7035,7035,0,35,35,1.0,1.0,1.0,0.0,0.6867837000172585,center0,0.0,8627.385134887705,GMM|k=4|cv=ful,52.0,35.0
UBC1314,gmm_bic,13266,13266,0,66,66,1.0,1.0,1.0,0.0,0.7176981000229716,center0,0.0,5648.8018531489215,GMM|k=5|cv=ful,99.0,66.0
UBC1315,gmm_bic,8442,8442,0,42,422,0.0,0.0,0.0,1.0,0.80967149999924,center0,0.0,14564.25630041836,GMM|k=5|cv=ful,422.0,483.0
UBC1316,gmm_bic,5628,5628,0,28,28,1.0,1.0,1.0,0.0,1.085641200072132,center0,0.0,10698.450441551218,GMM|k=4|cv=ful,50.0,28.0
UBC1317,gmm_bic,6029,6030,1,29,31,0.935483870967742,0.9666666666666668,0.9508196721311476,0.0645161290322581,1.0199566000374034,center0,0.0,11403.724779574855,GMM|k=5|cv=ful,50.0,31.0
UBC1318,gmm_bic,8241,8241,0,41,41,1.0,1.0,1.0,0.0,0.5490183000219986,center0,0.0,6255.288948504909,GMM|k=5|cv=ful,60.0,41.0
UBC1319,gmm_bic,13266,13266,0,66,66,1.0,1.0,1.0,0.0,1.0104570001130924,center0,0.0,8790.357346725474,GMM|k=4|cv=ful,97.0,66.0
UBC1320,gmm_bic,3216,3216,0,16,160,0.0,0.0,0.0,1.0,0.8437548000365496,center0,0.0,18884.5019540534,GMM|k=5|cv=dia,160.0,787.0
UBC1321,gmm_bic,3010,3010,0,10,150,0.0,0.0,0.0,1.0,0.8389924999792129,center0,0.0,16263.47507692754,GMM|k=5|cv=ful,150.0,653.0
UBC1322,gmm_bic,4623,4623,0,23,25,0.92,1.0,0.9583333333333334,0.0799999999999999,1.4612733999965712,center0,0.0,10561.03490778683,GMM|k=5|cv=ful,50.0,25.0
UBC1323,gmm_bic,5829,5829,0,29,291,0.0,0.0,0.0,1.0,1.0003399000270292,center0,0.0,7346.765031306728,GMM|k=5|cv=ful,291.0,550.0
UBC1324,gmm_bic,8844,8844,0,44,44,1.0,1.0,1.0,0.0,0.9099752000765876,center0,0.0,3555.585940812589,GMM|k=5|cv=dia,66.0,44.0
UBC1325,gmm_bic,4422,4422,0,22,221,0.0,0.0,0.0,1.0,1.0976850000442937,center0,0.0,18591.76479765652,GMM|k=5|cv=ful,221.0,598.0
UBC1326,gmm_bic,4824,4824,0,24,24,1.0,1.0,1.0,0.0,1.034512500045821,center0,0.0,10323.394169299589,GMM|k=5|cv=ful,50.0,24.0
